Transaction Date,Settlement Date,Activity Description,Description,Symbol,Quantity,Price,Price Currency,Total Amount,Total Currency
2023-08-11,2023-08-11,Contribution,CONTRIBUTION,,0,0,,50,CAD
2023-08-09,2023-08-09,Reinvestment,BMO AGGREGATE BD INDEX ETF,ZAG,24,13.22,CAD,-317.28,CAD
2023-08-04,2023-08-04,Contribution,CONTRIBUTION,,0,0,,50,CAD
2023-08-02,2023-08-02,Interest,BMO AGGREGATE BD INDEX ETF,ZAG,7955,0,,318.2,CAD
2023-07-28,2023-07-28,Contribution,CONTRIBUTION,,0,0,,50,CAD
2023-07-21,2023-07-21,Contribution,CONTRIBUTION,,0,0,,50,CAD
2023-07-18,2023-07-20,Buy,BMO AGGREGATE BD INDEX ETF,ZAG,90,13.45,CAD,-1210.5,CAD
2023-07-18,2023-07-20,Buy,BMO AGGREGATE BD INDEX ETF,ZAG,100,13.45,CAD,-1345,CAD
2023-07-14,2023-07-14,Contribution,CONTRIBUTION,,0,0,,50,CAD
2023-07-10,2023-07-10,Reinvestment,BMO LOW VOLATILITY CDN EQTY ET,ZLB,5,41.57,CAD,-207.86,CAD
2023-07-10,2023-07-10,Reinvestment,BMO LOW VOLATILITY US EQTY ETF,ZLU,4,46.65,CAD,-186.6,CAD
2023-07-10,2023-07-10,Reinvestment,BMO MSCI EAFE HEDGED CAD INDEX,ZDM,13,26.02,CAD,-338.26,CAD
2023-07-10,2023-07-10,Reinvestment,BMO S&P/TSX CAPPED COMPOSITE I,ZCN,8,26.92,CAD,-215.36,CAD
2023-07-10,2023-07-10,Reinvestment,BMO AGGREGATE BD INDEX ETF,ZAG,23,13.42,CAD,-308.66,CAD
2023-07-07,2023-07-07,Contribution,CONTRIBUTION,,0,0,,50,CAD
2023-07-07,2023-07-07,Reinvestment,ISHARES U S SMALL CAP INDEX ET,XSU,1,37.05,CAD,-37.05,CAD
2023-07-05,2023-07-05,Interest,BMO AGGREGATE BD INDEX ETF,ZAG,7742,0,,309.68,CAD
2023-07-05,2023-07-05,Interest,BMO MSCI EAFE HEDGED CAD INDEX,ZDM,1812,0,,362.4,CAD
2023-07-05,2023-07-05,Interest,BMO LOW VOLATILITY US EQTY ETF,ZLU,780,0,,210.6,CAD
2023-07-05,2023-07-05,Interest,BMO S&P/TSX CAPPED COMPOSITE I,ZCN,943,0,,216.89,CAD
2023-07-05,2023-07-05,Interest,BMO LOW VOLATILITY CDN EQTY ET,ZLB,763,0,,213.64,CAD
2023-07-05,2023-07-05,Interest,BMO S&P 500 HEDGED TO CAD INDE,ZUE,107,0,,23.54,CAD
2023-06-30,2023-06-30,Contribution,CONTRIBUTION,,0,0,,50,CAD
2023-06-30,2023-06-30,Interest,ISHARES U S SMALL CAP INDEX ET,XSU,416,0,,71.97,CAD
2023-06-23,2023-06-23,Contribution,CONTRIBUTION,,0,0,,50,CAD
2023-06-16,2023-06-16,Contribution,CONTRIBUTION,,0,0,,50,CAD
2023-06-09,2023-06-09,Contribution,CONTRIBUTION,,0,0,,50,CAD
2023-06-08,2023-06-08,Reinvestment,BMO AGGREGATE BD INDEX ETF,ZAG,22,13.52,CAD,-297.54,CAD
2023-06-05,2023-06-05,Interest,BMO AGGREGATE BD INDEX ETF,ZAG,7720,0,,308.8,CAD
2023-06-02,2023-06-02,Contribution,CONTRIBUTION,,0,0,,50,CAD
2023-05-26,2023-05-26,Contribution,CONTRIBUTION,,0,0,,50,CAD
2023-05-19,2023-05-19,Contribution,CONTRIBUTION,,0,0,,50,CAD
2023-05-12,2023-05-12,Contribution,CONTRIBUTION,,0,0,,50,CAD
2023-05-09,2023-05-09,Reinvestment,BMO AGGREGATE BD INDEX ETF,ZAG,22,13.84,CAD,-304.41,CAD
2023-05-05,2023-05-05,Contribution,CONTRIBUTION,,0,0,,50,CAD
2023-05-02,2023-05-02,Interest,BMO AGGREGATE BD INDEX ETF,ZAG,7698,0,,307.92,CAD
2023-04-28,2023-04-28,Contribution,CONTRIBUTION,,0,0,,50,CAD
2023-04-21,2023-04-21,Contribution,CONTRIBUTION,,0,0,,50,CAD
2023-04-14,2023-04-14,Contribution,CONTRIBUTION,,0,0,,50,CAD
2023-04-13,2023-04-13,Reinvestment,BMO LOW VOLATILITY US EQTY ETF,ZLU,4,47.56,CAD,-190.24,CAD
2023-04-11,2023-04-11,Reinvestment,BMO AGGREGATE BD INDEX ETF,ZAG,22,13.87,CAD,-305.14,CAD
2023-04-11,2023-04-11,Reinvestment,BMO MSCI EAFE HEDGED CAD INDEX,ZDM,14,25.15,CAD,-352.08,CAD
