Transaction Date,Settlement Date,Activity Description,Description,Symbol,Quantity,Price,Price Currency,Total Amount,Total Currency
2023-10-11,2023-10-11,Reinvestment,BMO MSCI EAFE HEDGED CAD INDEX,ZDM,29,0, ,-728.77,CAD
2023-10-11,2023-10-11,Reinvestment,BMO AGGREGATE BD INDEX ETF,ZAG,48,0, ,-614.33,CAD
2023-10-11,2023-10-11,Reinvestment,BMO RRB INDEX ETF TR UNITS,ZRR,13,0, ,-173.55,CAD
2023-10-11,2023-10-11,Reinvestment,BMO LOW VOLATILITY US EQTY ETF,ZLU,7,0, ,-309.25,CAD
2023-10-11,2023-10-11,Reinvestment,BMO LOW VOLATILITY CDN EQTY ET,ZLB,5,0, ,-192.7,CAD
2023-10-11,2023-10-11,Reinvestment,BMO S&P/TSX CAPPED COMPOSITE I,ZCN,20,0, ,-508.4,CAD
2023-10-11,2023-10-11,Reinvestment,BMO S&P 500 HEDGED TO CAD INDE,ZUE,2,0, ,-118.93,CAD
2023-10-04,2023-10-04,Interest,BMO S&P 500 HEDGED TO CAD INDE,ZUE,624,0, ,137.28,CAD
2023-10-04,2023-10-04,Interest,BMO RRB INDEX ETF TR UNITS,ZRR,2901,0, ,174.06,CAD
2023-10-04,2023-10-04,Interest,BMO LOW VOLATILITY CDN EQTY ET,ZLB,731,0, ,204.68,CAD
2023-10-04,2023-10-04,Interest,BMO S&P/TSX CAPPED COMPOSITE I,ZCN,2298,0, ,528.54,CAD
2023-10-04,2023-10-04,Interest,BMO LOW VOLATILITY US EQTY ETF,ZLU,1244,0, ,335.88,CAD
2023-10-04,2023-10-04,Interest,BMO MSCI EAFE HEDGED CAD INDEX,ZDM,3733,0, ,746.6,CAD
2023-10-04,2023-10-04,Interest,BMO AGGREGATE BD INDEX ETF,ZAG,15610,0, ,624.4,CAD

