Transaction Type=All,Product Type=All,Symbol=,From=2023-08-01,To=2024-01-15
Transaction Date,Settlement Date,Activity Description,Description,Symbol,Quantity,Price,Price Currency,Total Amount,Total Currency
----------------,---------------,--------------------,-----------,------,--------,-----,--------,------------,--------
2024-01-12,2024-01-12,Contribution,CONTRIBUTION, ,0,0, ,50,CAD
2024-01-11,2024-01-11,Reinvestment,BMO MSCI EAFE HEDGED CAD INDEX,ZDM,13,0, ,-347.89,CAD
2024-01-09,2024-01-09,Reinvestment,ISHARES U S SMALL CAP INDEX ET,XSU,2,0, ,-75.32,CAD
2024-01-09,2024-01-09,Reinvestment,BMO AGGREGATE BD INDEX ETF,ZAG,23,0, ,-316.25,CAD
2024-01-09,2024-01-09,Reinvestment,BMO LOW VOLATILITY CDN EQTY ET,ZLB,5,0, ,-208.57,CAD
2024-01-09,2024-01-09,Reinvestment,BMO MSCI EMERGING MKTS INDEX E,ZEM,21,0, ,-399.27,CAD
2024-01-09,2024-01-09,Reinvestment,BMO LOW VOLATILITY US EQTY ETF,ZLU,4,0, ,-188.16,CAD
2024-01-09,2024-01-09,Reinvestment,BMO S&P/TSX CAPPED COMPOSITE I,ZCN,7,0, ,-194.71,CAD
2024-01-05,2024-01-05,Contribution,CONTRIBUTION, ,0,0, ,50,CAD
2024-01-04,2024-01-04,Interest,ISHARES U S SMALL CAP INDEX ET,XSU,417,0, ,106.71,CAD
2024-01-03,2024-01-03,Interest,BMO MSCI EAFE HEDGED CAD INDEX,ZDM,1839,0, ,367.8,CAD
2024-01-03,2024-01-03,Interest,BMO S&P/TSX CAPPED COMPOSITE I,ZCN,959,0, ,220.57,CAD
2024-01-03,2024-01-03,Interest,BMO S&P 500 HEDGED TO CAD INDE,ZUE,107,0, ,23.54,CAD
2024-01-03,2024-01-03,Interest,BMO LOW VOLATILITY US EQTY ETF,ZLU,788,0, ,228.52,CAD
2024-01-03,2024-01-03,Interest,BMO MSCI EMERGING MKTS INDEX E,ZEM,742,0, ,408.1,CAD
2024-01-03,2024-01-03,Interest,BMO AGGREGATE BD INDEX ETF,ZAG,8075,0, ,323,CAD
