Transaction Date,Settlement Date,Activity Description,Description,Symbol,Quantity,Price,Price Currency,Total Amount,Total Currency
2023-12-04,2023-12-04,Interest,BMO AGGREGATE BD INDEX ETF,ZAG,15705,0, ,628.2,CAD
2023-12-04,2023-12-04,Interest,BMO RRB INDEX ETF TR UNITS,ZRR,2926,0, ,175.56,CAD
2023-11-02,2023-11-02,Interest,BMO AGGREGATE BD INDEX ETF,ZAG,15658,0, ,626.32,CAD
2023-11-02,2023-11-02,Interest,BMO RRB INDEX ETF TR UNITS,ZRR,2914,0, ,174.84,CAD
2023-10-04,2023-10-04,Interest,BMO AGGREGATE BD INDEX ETF,ZAG,15610,0, ,624.4,CAD
2023-10-04,2023-10-04,Interest,BMO MSCI EAFE HEDGED CAD INDEX,ZDM,3733,0, ,746.6,CAD
2023-10-04,2023-10-04,Interest,BMO LOW VOLATILITY US EQTY ETF,ZLU,1244,0, ,335.88,CAD
2023-10-04,2023-10-04,Interest,BMO S&P 500 HEDGED TO CAD INDE,ZUE,624,0, ,137.28,CAD
2023-10-04,2023-10-04,Interest,BMO LOW VOLATILITY CDN EQTY ET,ZLB,731,0, ,204.68,CAD
2023-10-04,2023-10-04,Interest,BMO RRB INDEX ETF TR UNITS,ZRR,2901,0, ,174.06,CAD
2023-10-04,2023-10-04,Interest,BMO S&P/TSX CAPPED COMPOSITE I,ZCN,2298,0, ,528.54,CAD
