Transaction Date,Settlement Date,Activity Description,Description,Symbol,Quantity,Price,Price Currency,Total Amount,Total Currency
----------------,---------------,--------------------,-----------,------,--------,-----,--------,------------,--------
2024-01-11,2024-01-11,Reinvestment,BMO MSCI EAFE HEDGED CAD INDEX,ZDM,28,0, ,-749.29,CAD
2024-01-09,2024-01-09,Contribution,CONTRIBUTION, ,0,0, ,150,CAD
2024-01-09,2024-01-09,Reinvestment,ISHARES U S SMALL CAP INDEX ET,XSU,5,0, ,-188.3,CAD
2024-01-09,2024-01-09,Reinvestment,BMO RRB INDEX ETF TR UNITS,ZRR,12,0, ,-174.48,CAD
2024-01-09,2024-01-09,Reinvestment,BMO AGGREGATE BD INDEX ETF,ZAG,45,0, ,-618.75,CAD
2024-01-09,2024-01-09,Reinvestment,BMO MSCI EMERGING MKTS INDEX E,ZEM,46,0, ,-874.59,CAD
2024-01-09,2024-01-09,Reinvestment,BMO LOW VOLATILITY US EQTY ETF,ZLU,7,0, ,-329.28,CAD
2024-01-09,2024-01-09,Reinvestment,BMO S&P 500 HEDGED TO CAD INDE,ZUE,2,0, ,-130.97,CAD
2024-01-09,2024-01-09,Reinvestment,BMO S&P/TSX CAPPED COMPOSITE I,ZCN,19,0, ,-528.5,CAD
2024-01-09,2024-01-09,Reinvestment,BMO LOW VOLATILITY CDN EQTY ET,ZLB,4,0, ,-166.86,CAD
2024-01-04,2024-01-04,Interest,ISHARES U S SMALL CAP INDEX ET,XSU,784,0, ,200.63,CAD
2024-01-03,2024-01-03,Interest,BMO S&P/TSX CAPPED COMPOSITE I,ZCN,2318,0, ,533.14,CAD
2024-01-03,2024-01-03,Interest,BMO MSCI EMERGING MKTS INDEX E,ZEM,1606,0, ,883.3,CAD
2024-01-03,2024-01-03,Interest,BMO MSCI EAFE HEDGED CAD INDEX,ZDM,3762,0, ,752.4,CAD
2024-01-03,2024-01-03,Interest,BMO RRB INDEX ETF TR UNITS,ZRR,2938,0, ,176.28,CAD
2024-01-03,2024-01-03,Interest,BMO LOW VOLATILITY US EQTY ETF,ZLU,1251,0, ,362.79,CAD
2024-01-03,2024-01-03,Interest,BMO LOW VOLATILITY CDN EQTY ET,ZLB,736,0, ,206.08,CAD
2024-01-03,2024-01-03,Interest,BMO S&P 500 HEDGED TO CAD INDE,ZUE,626,0, ,137.72,CAD
2024-01-03,2024-01-03,Interest,BMO AGGREGATE BD INDEX ETF,ZAG,15751,0, ,630.04,CAD



