Transaction Date,Settlement Date,Activity Description,Description,Symbol,Quantity,Price,Price Currency,Total Amount,Total Currency
2023-10-24,2023-10-24,Contribution,CONTRIBUTION, ,0,0, ,150,CAD
2023-10-17,2023-10-17,Contribution,CONTRIBUTION, ,0,0, ,150,CAD
2023-10-11,2023-10-11,Reinvestment,BMO MSCI EAFE HEDGED CAD INDEX,ZDM,29,0, ,-728.77,CAD
2023-10-11,2023-10-11,Reinvestment,BMO AGGREGATE BD INDEX ETF,ZAG,48,0, ,-614.33,CAD
2023-10-11,2023-10-11,Reinvestment,BMO RRB INDEX ETF TR UNITS,ZRR,13,0, ,-173.55,CAD
2023-10-11,2023-10-11,Reinvestment,BMO LOW VOLATILITY US EQTY ETF,ZLU,7,0, ,-309.25,CAD
2023-10-11,2023-10-11,Reinvestment,BMO LOW VOLATILITY CDN EQTY ET,ZLB,5,0, ,-192.7,CAD
2023-10-11,2023-10-11,Reinvestment,BMO S&P/TSX CAPPED COMPOSITE I,ZCN,20,0, ,-508.4,CAD
2023-10-11,2023-10-11,Reinvestment,BMO S&P 500 HEDGED TO CAD INDE,ZUE,2,0, ,-118.93,CAD
2023-10-10,2023-10-10,Contribution,CONTRIBUTION, ,0,0, ,150,CAD
2023-10-04,2023-10-04,Interest,BMO S&P 500 HEDGED TO CAD INDE,ZUE,624,0, ,137.28,CAD
2023-10-04,2023-10-04,Interest,BMO RRB INDEX ETF TR UNITS,ZRR,2901,0, ,174.06,CAD
2023-10-04,2023-10-04,Interest,BMO LOW VOLATILITY CDN EQTY ET,ZLB,731,0, ,204.68,CAD
2023-10-04,2023-10-04,Interest,BMO S&P/TSX CAPPED COMPOSITE I,ZCN,2298,0, ,528.54,CAD
2023-10-04,2023-10-04,Interest,BMO LOW VOLATILITY US EQTY ETF,ZLU,1244,0, ,335.88,CAD
2023-10-04,2023-10-04,Interest,BMO MSCI EAFE HEDGED CAD INDEX,ZDM,3733,0, ,746.6,CAD
2023-10-04,2023-10-04,Interest,BMO AGGREGATE BD INDEX ETF,ZAG,15610,0, ,624.4,CAD
2023-10-03,2023-10-03,Contribution,CONTRIBUTION, ,0,0, ,150,CAD
2023-09-26,2023-09-26,Contribution,CONTRIBUTION, ,0,0, ,150,CAD
2023-09-19,2023-09-19,Contribution,CONTRIBUTION, ,0,0, ,150,CAD
2023-09-15,2023-09-19,Buy,BMO RRB INDEX ETF TR UNITS,ZRR,70,13.85,CAD,-979.45,CAD
2023-09-12,2023-09-12,Contribution,CONTRIBUTION, ,0,0, ,150,CAD
2023-09-08,2023-09-08,Reinvestment,BMO RRB INDEX ETF TR UNITS,ZRR,16,0, ,-222.24,CAD
2023-09-08,2023-09-08,Reinvestment,BMO AGGREGATE BD INDEX ETF,ZAG,47,0, ,-618.99,CAD
2023-09-05,2023-09-05,Interest,BMO AGGREGATE BD INDEX ETF,ZAG,15563,0, ,622.52,CAD
2023-09-05,2023-09-05,Contribution,CONTRIBUTION, ,0,0, ,150,CAD
2023-09-05,2023-09-05,Interest,BMO RRB INDEX ETF TR UNITS,ZRR,2815,0, ,225.2,CAD
2023-08-29,2023-08-29,Contribution,CONTRIBUTION, ,0,0, ,150,CAD
2023-08-22,2023-08-22,Contribution,CONTRIBUTION, ,0,0, ,150,CAD
2023-08-15,2023-08-15,Contribution,CONTRIBUTION, ,0,0, ,150,CAD
2023-08-09,2023-08-09,Reinvestment,BMO RRB INDEX ETF TR UNITS,ZRR,14,0, ,-196.84,CAD
2023-08-09,2023-08-09,Reinvestment,BMO AGGREGATE BD INDEX ETF,ZAG,46,0, ,-608.12,CAD
2023-08-08,2023-08-08,Contribution,CONTRIBUTION, ,0,0, ,150,CAD
2023-08-02,2023-08-04,Sell,BMO MSCI EAFE HEDGED CAD INDEX,ZDM,-100,26.145,CAD,2614.5,CAD
2023-08-02,2023-08-04,Buy,BMO RRB INDEX ETF TR UNITS,ZRR,200,14.07,CAD,-2823.95,CAD
2023-08-02,2023-08-02,Interest,BMO AGGREGATE BD INDEX ETF,ZAG,15517,0, ,620.68,CAD
2023-08-02,2023-08-02,Interest,BMO RRB INDEX ETF TR UNITS,ZRR,2501,0, ,200.08,CAD
2023-08-01,2023-08-01,Contribution,CONTRIBUTION, ,0,0, ,150,CAD
2023-07-27,2023-07-31,Buy,BMO RRB INDEX ETF TR UNITS,ZRR,100,14.22,CAD,-1431.95,CAD
2023-07-25,2023-07-25,Contribution,CONTRIBUTION, ,0,0, ,150,CAD
2023-07-18,2023-07-18,Contribution,CONTRIBUTION, ,0,0, ,150,CAD
2023-07-11,2023-07-11,Contribution,CONTRIBUTION, ,0,0, ,150,CAD
2023-07-10,2023-07-10,Reinvestment,BMO RRB INDEX ETF TR UNITS,ZRR,13,0, ,-190.58,CAD
2023-07-10,2023-07-10,Reinvestment,BMO AGGREGATE BD INDEX ETF,ZAG,46,0, ,-617.31,CAD
2023-07-10,2023-07-10,Reinvestment,BMO MSCI EAFE HEDGED CAD INDEX,ZDM,29,0, ,-754.58,CAD
2023-07-10,2023-07-10,Reinvestment,BMO LOW VOLATILITY US EQTY ETF,ZLU,7,0, ,-326.55,CAD
